file_path,publishable,flesch_kincaid_grade_level,gunning_fog_index,dale_chall,smog_index,table_count,table_citation_presence,table_density,no_of_columns_per_page_of_table,citation_relevance,title_abstract_consistency,presence_of_opposite_number_of_sections,reference_count,figures_to_text_ratio,equation_density,technical_jargon_score,novelty_score,interdisciplinary_impact_score
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_112.pdf,0,11,11.17,8.38,13.5,2,TRUE,0.5,12,0,0.535737462,3,19,0,0.006438495,0.013662638,0.571089815,0.15784589
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_270.pdf,0,7.6,7.34,5.3,10.3,3,FALSE,0.034482759,5.666666667,0,0.519177033,2,0,0,0.007630034,0.005961707,0.414277537,0.123326799
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_264.pdf,0,8.5,8.56,6.85,11.3,2,TRUE,0.133333333,4,0,0.653779,2,12,0.000583658,0.018871595,0.00594884,0.605413998,0.256021953
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_258.pdf,0,12.6,11.04,7.6,14.2,62,FALSE,8.857142857,1.806451613,0,0.848169178,2,0,0,0.000205931,0.002729444,0.555929328,0.284544319
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_259.pdf,0,11,9.43,7.29,13.2,5,FALSE,0.208333333,6.6,0,0,1,77,0.001781896,0.010453789,0.003203987,0.391758317,0.03916679
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_265.pdf,0,8,7.25,5.76,10.9,0,FALSE,0,0,0,0.557450138,3,63,0,0.007259207,0.001467567,0.334351487,0.120872624
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_271.pdf,0,10.3,9.18,7.05,13.4,37,TRUE,4.625,3.837837838,0,0,2,90,0,0.003760969,0.004189944,0.516863959,0.139325235
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_17.pdf,0,14.5,10.56,6.22,15.9,5,TRUE,0.096153846,3.4,0,0.580238,1,97,0.001445807,0.002492771,0.005349381,0.471270008,0.13050118
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_113.pdf,0,9.2,10.5,6.69,10.9,0,FALSE,0,0,0,0,7,0,0.000123229,0.003573629,0.011877828,0.58811878,0.057628111
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_107.pdf,0,8.2,7.57,6.06,11.5,1,TRUE,0.05,2,0,0.543102473,2,29,0,0.001078878,0.010137875,0.511030125,0.131656368
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_339.pdf,0,10.6,8.78,6.31,13,9,TRUE,0.236842105,5.888888889,0,0.508287434,1,0,0,0.00721834,0.032319079,0.47580092,0.064665068
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_311.pdf,0,10.4,8.74,7.28,12.9,0,FALSE,0,0,0,0.521466618,2,54,0.000891001,0.002079002,0.015388202,0.483047624,0.172859324
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_305.pdf,0,11.5,11.46,7.74,14.1,1,FALSE,0.125,5,0,0.49663925,1,36,0,0.015310403,0.010045662,0.387354285,0.064448092
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_301.pdf,0,9.2,6.64,6.09,12.3,55,FALSE,0.544554455,10.43636364,0,0.48101975,4,0,0.000874369,0.006716744,0.000403063,0.608421147,0.002363958
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_315.pdf,0,10,8.27,6.22,12.8,119,TRUE,2.203703704,3.857142857,0,0.680310816,1,0,0.000284347,0.003459552,0.010644633,0.495379647,0.094017416
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_103.pdf,0,10.1,8.61,6.4,13.5,15,TRUE,1.071428571,3.466666667,0,0.525326515,3,114,0,0.006348951,0.008340595,0.407888226,0.270669157
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_117.pdf,0,10.1,9.42,7.18,12.7,6,TRUE,0.545454545,3.666666667,0,0.519598799,2,39,0.001275673,0.006761066,0.012825817,0.532102044,0.069442439
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_13.pdf,0,9.6,8.39,6.54,12,0,FALSE,0,0,0,0,7,0,0,0.002025037,0.009265176,0.651031584,0.043327876
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_249.pdf,0,11.4,9.62,7.24,13.8,2,FALSE,0.133333333,2,0,0.678245977,2,1,0.000398883,0.001396091,0.017504052,0.583485639,0.118894371
